id,num_events,total_count,tx_fatal,tx_event,time,students,took_damage,Q5_2_aUsedForBefore4,QII_1Province,elementary,high_school,pct_walking_before,pct_walking_now,school_levels
2698,0,0,0,0,post,94,0,NA,31,1,1,0.5555555555555556,0.5319148936170213,2
4684,0,0,0,0,post,116,1,NA,22,1,1,0.49019607843137253,0.43103448275862066,2
773,93,728,1,1,post,102,0,NA,3,1,1,0.9313725490196079,0.9313725490196079,2
4185,0,0,0,0,post,105,0,NA,25,1,1,0.8571428571428571,0.8571428571428571,2
4660,0,0,0,0,post,115,0,Armed Groups,22,1,1,0.9433962264150944,0.8695652173913043,2
1904,0,0,0,0,post,103,0,NA,19,1,1,0.7339449541284404,0.7766990291262136,2
3813,0,0,0,0,post,121,0,NA,27,1,1,0.8482142857142857,0.7851239669421488,2
3808,0,0,0,0,post,97,0,NA,27,1,1,0.8407079646017699,0.979381443298969,2
3136,0,0,0,0,post,111,0,NA,28,1,1,0.6896551724137931,0.7207207207207207,2
3022,0,0,0,0,post,116,0,NA,31,1,1,0.6896551724137931,0.6896551724137931,2
1370,0,0,0,0,post,108,1,NA,17,1,1,0.819672131147541,0.9259259259259259,2
4717,0,0,0,0,post,141,1,Armed Groups,22,1,1,0.3968253968253968,0.3546099290780142,2
4033,0,0,0,0,post,145,0,NA,28,1,1,0.6106870229007634,0.5517241379310345,2
561,34,155,1,1,post,85,0,NA,13,1,1,0.37593984962406013,0.5882352941176471,2
987,18,230,1,1,post,139,1,NA,3,1,1,0.07352941176470588,0.07194244604316546,2
2084,3,3,1,1,post,137,1,NA,19,1,1,0.6985294117647058,0.6934306569343066,2
1313,0,0,0,0,post,133,0,NA,18,1,1,0.684931506849315,0.7518796992481203,2
2762,0,0,0,0,post,137,1,NA,13,1,1,0.4,0.43795620437956206,2
4607,0,0,0,0,post,180,0,NA,29,1,1,0.5806451612903226,0.5,2
4036,0,0,0,0,post,152,0,NA,28,1,1,0.5031446540880503,0.5263157894736842,2
2817,2,10,1,1,post,108,0,NA,13,1,1,0.12269938650306748,0.09259259259259259,2
5039,2,10,1,1,post,207,0,NA,13,1,1,0.35294117647058826,0,2
1594,0,0,0,0,post,198,0,NA,16,1,1,0.5172413793103449,0.45454545454545453,2
4524,0,0,0,0,post,129,0,NA,29,1,1,0.4519774011299435,0.6201550387596899,2
1925,0,0,0,0,post,187,0,NA,19,1,1,0.5524861878453039,0.5347593582887701,2
368,0,0,0,0,post,191,0,NA,2,1,1,0.40106951871657753,0.39267015706806285,2
1218,1,0,0,1,post,191,1,NA,15,1,1,0.5291005291005291,0.5235602094240838,2
1267,1,0,0,1,post,249,1,NA,15,1,1,0.5102040816326531,0.40160642570281124,2
4844,0,0,0,0,post,117,0,NA,21,1,1,0.25125628140703515,0.42735042735042733,2
1881,1,0,0,1,post,203,0,NA,16,1,1,0.09900990099009901,0.09852216748768473,2
3223,5,45,1,1,post,212,0,NA,28,1,1,0.14150943396226415,0.14150943396226415,2
1553,0,0,0,0,post,250,0,NA,16,1,1,0.18181818181818182,0.16,2
1493,0,0,0,0,post,251,0,NA,16,1,1,0.1762114537444934,0.1593625498007968,2
384,1,0,0,1,post,190,0,NA,2,1,1,0.008695652173913044,0.010526315789473684,2
2331,0,0,0,0,post,238,0,NA,24,1,1,0.37344398340248963,0.37815126050420167,2
4709,0,0,0,0,post,322,1,NA,22,1,1,0.2857142857142857,0.21739130434782608,2
1945,0,0,0,0,post,253,0,NA,19,1,1,0.3952569169960474,0.3952569169960474,2
4591,0,0,0,0,post,438,0,NA,29,1,1,0.0390625,0.0228310502283105,2
1655,0,0,0,0,post,315,0,NA,16,1,1,0.3488372093023256,0.2857142857142857,2
4805,0,0,0,0,post,262,0,NA,22,1,1,0.15151515151515152,0,2
4838,0,0,0,0,post,266,1,NA,21,1,1,0.3007518796992481,0.3007518796992481,2
3090,0,0,0,0,post,152,1,NA,28,1,1,0.36666666666666664,0.6513157894736842,2
1847,0,0,0,0,post,284,0,NA,19,1,1,0.3597122302158273,0.352112676056338,2
2477,0,0,0,0,post,301,0,NA,24,1,1,0.24561403508771928,0.23255813953488372,2
2815,0,0,0,0,post,276,0,NA,13,1,1,0.22857142857142856,0.2898550724637681,2
2231,0,0,0,0,post,372,0,NA,24,1,1,0.23480662983425415,0.22849462365591397,2
5054,0,0,0,0,post,394,0,Armed Groups,3,1,1,0.21628498727735368,0.21573604060913706,2
4585,0,0,0,0,post,311,0,NA,29,1,1,0.24875621890547264,0.3215434083601286,2
4310,0,0,0,0,post,419,0,NA,1,1,1,0.1431980906921241,0.1431980906921241,2
1740,0,0,0,0,post,443,0,NA,16,1,1,0.03546099290780142,0.022573363431151242,2
4843,8,10,1,1,post,439,0,NA,21,1,1,0.2164009111617312,0.2164009111617312,2
4710,0,0,0,0,post,390,1,NA,22,1,1,0.06493506493506493,0.11538461538461539,2
1909,0,0,0,0,post,539,0,NA,19,1,1,0.18975332068311196,0.18552875695732837,2
4016,11,0,0,1,post,507,0,NA,6,1,1,0.056074766355140186,0.05917159763313609,2
996,0,0,0,0,post,641,1,Armed Groups,3,1,1,0.10309278350515463,0.093603744149766,2
4312,0,0,0,0,post,642,0,NA,1,1,1,0.10903426791277258,0.10903426791277258,2
2249,0,0,0,0,post,645,0,NA,24,1,1,0.042432814710042434,0.046511627906976744,2
4930,0,0,0,0,post,768,0,NA,21,1,1,0.1171875,0.1171875,2
4905,8,10,1,1,post,792,0,NA,21,1,1,0.10101010101010101,0.10101010101010101,2
914,93,728,1,1,post,497,1,NA,3,1,1,0.08739076154806492,0.16096579476861167,2
4894,0,0,0,0,post,1226,0,NA,21,1,1,0,0,2
323,160,2535,1,1,post,1781,0,NA,2,1,1,0.001076426264800861,5.614823133071309e-4,2
3117,0,0,0,0,post,102,0,NA,28,0,1,0.7142857142857143,0.6862745098039216,1
4535,0,0,0,0,post,108,0,NA,29,0,1,0.8333333333333334,0.8333333333333334,1
3881,0,0,0,0,post,132,0,NA,6,0,1,0.7372881355932204,0.6893939393939394,1
1456,0,0,0,0,post,135,0,NA,16,0,1,0.546875,0.5185185185185185,1
2146,0,0,0,0,post,145,0,Armed Groups,19,0,1,0.6802721088435374,0.6896551724137931,1
4468,0,0,0,0,post,149,0,NA,29,0,1,0.6711409395973155,0.6711409395973155,1
1850,0,0,0,0,post,110,0,NA,19,0,1,0,0.8181818181818182,1
1316,0,0,0,0,post,168,0,NA,18,0,1,0.5714285714285714,0.5952380952380952,1
4791,0,0,0,0,post,139,0,NA,21,0,1,0.5524861878453039,0.7194244604316546,1
1348,0,0,0,0,post,151,0,NA,18,0,1,0.4666666666666667,0.6490066225165563,1
4531,0,0,0,0,post,226,0,NA,29,1,0,0.9523809523809523,0.35398230088495575,1
5019,0,0,0,0,post,104,0,NA,2,1,0,0.09523809523809523,0.09615384615384616,1
497,0,0,0,0,post,125,0,NA,13,1,0,0.7727272727272727,0.68,1
3847,9,0,0,1,post,139,0,NA,27,1,0,0.5833333333333334,0.5035971223021583,1
4521,0,0,0,0,post,142,0,NA,29,1,0,0.6106870229007634,0.5633802816901409,1
4075,0,0,0,0,post,140,0,NA,25,1,0,0.5714285714285714,0.5714285714285714,1
4588,0,0,0,0,post,149,0,NA,29,1,0,0.7092198581560284,0.6711409395973155,1
1379,0,0,0,0,post,160,0,NA,17,1,0,0.6493506493506493,0.625,1
4491,0,0,0,0,post,187,0,NA,29,1,0,0.5649717514124294,0.5347593582887701,1
4246,0,0,0,0,post,180,0,NA,25,1,0,0.4444444444444444,0.4444444444444444,1
3913,0,0,0,0,post,212,0,NA,6,1,0,0.47393364928909953,0.4716981132075472,1
4084,0,0,0,0,post,244,1,NA,25,1,0,0.32786885245901637,0.32786885245901637,1
