id,num_events,total_count,tx_fatal,tx_event,time,students,took_damage,Q5_2_aUsedForBefore4,QII_1Province,elementary,high_school,school_levels
4222,0,0,0,0,post,94,0,NA,25,0,1,1
2955,0,0,0,0,post,28,1,NA,31,1,0,1
4570,0,0,0,0,post,53,0,NA,29,1,0,1
4568,0,0,0,0,post,94,0,NA,29,1,0,1
4592,0,0,0,0,post,110,0,NA,29,1,0,1
4341,0,0,0,0,post,151,0,NA,1,1,0,1
4830,0,0,0,0,post,200,0,NA,21,1,0,1
4078,0,0,0,0,post,246,0,NA,25,1,0,1
4083,0,0,0,0,post,258,0,NA,25,1,0,1
2340,0,0,0,0,post,358,0,NA,24,1,0,1
3705,0,0,0,0,post,377,1,NA,1,1,0,1
3017,0,0,0,0,post,391,0,NA,31,1,0,1
4994,1,0,0,1,post,462,0,NA,2,1,0,1
40,0,0,0,0,post,492,1,Armed Groups,2,1,0,1
426,12,54,1,1,post,505,1,NA,2,1,0,1
3043,0,0,0,0,post,95,0,NA,31,1,1,2
2964,0,0,0,0,post,105,0,NA,31,1,1,2
1683,0,0,0,0,post,129,0,NA,16,1,1,2
1903,0,0,0,0,post,105,0,NA,19,1,1,2
2152,0,0,0,0,post,99,1,Armed Groups,19,1,1,2
3063,2,0,0,1,post,85,1,NA,16,1,1,2
4645,0,0,0,0,post,99,1,NA,22,1,1,2
1211,2,0,0,1,post,116,1,Armed Groups,15,1,1,2
4988,0,0,0,0,post,109,0,NA,21,1,1,2
2739,0,0,0,0,post,141,0,NA,31,1,1,2
2468,0,0,0,0,post,110,0,NA,24,1,1,2
1583,0,0,0,0,post,139,1,NA,16,1,1,2
2128,1,0,0,1,post,128,0,NA,19,1,1,2
468,0,0,0,0,post,151,1,NA,13,1,1,2
3701,0,0,0,0,post,131,0,NA,1,1,1,2
2565,0,0,0,0,post,141,0,NA,24,1,1,2
4225,0,0,0,0,post,139,0,NA,25,1,1,2
2490,0,0,0,0,post,141,0,NA,24,1,1,2
2636,0,0,0,0,post,153,1,NA,24,1,1,2
2359,0,0,0,0,post,153,0,NA,24,1,1,2
2981,0,0,0,0,post,156,1,NA,31,1,1,2
1940,0,0,0,0,post,163,0,NA,19,1,1,2
2927,0,0,0,0,post,175,0,NA,31,1,1,2
2939,0,0,0,0,post,174,0,NA,31,1,1,2
2886,0,0,0,0,post,171,0,NA,13,1,1,2
1193,0,0,0,0,post,184,1,NA,15,1,1,2
2239,0,0,0,0,post,224,0,NA,24,1,1,2
1063,0,0,0,0,post,220,1,NA,3,1,1,2
1841,0,0,0,0,post,242,0,Armed Groups,19,1,1,2
2664,0,0,0,0,post,210,0,NA,24,1,1,2
2532,0,0,0,0,post,238,0,NA,24,1,1,2
4025,0,0,0,0,post,271,1,NA,28,1,1,2
